class,class_size,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-,ROC_AUC_micro,ROC_AUC_macro
DeskPhone,160,1.1,8.9,5.9,19372.1,7.0,19388.0,0.14021002454789275,0.7059814548778894,0.3967139887608485,0.11949230613309025,1.1,8.9,5.9,19372.1,0.15714285714285714,0.9995407873690729,0.11000000000000001,0.9996955310145526,0.8428571428571429,0.00045921263092719674,0.89,0.00030446898544741455,0.07351190476190475,0.9992366412213741,0.19909502262443438,0.18003273322422259,0.22267206477732787,0.13110108918705268,0.15668364451192995,0.10969553101455261,383.9943027210884,0.8432516773808129,0.6828164860040921,
Door,336,2.4285714285714284,7.571428571428571,4.571428571428571,19373.428571428572,7.0,19388.0,0.5439289913318204,0.5284928520045993,0.5247721135080708,0.3398896703782876,2.4285714285714284,7.571428571428571,4.571428571428571,19373.428571428572,0.3469387755102041,0.9996093375691951,0.24285714285714288,0.9997640918272562,0.6530612244897959,0.00039066243080483837,0.7571428571428571,0.0002359081727437595,0.17900095935810223,0.9993736921217837,0.3076923076923077,0.2782324058919804,0.34412955465587036,0.28996539633699847,0.34654811307939926,0.2426212346843991,1043.238149227945,0.6533323116541021,0.497163097631794,
Drum,159,1.55,8.45,5.4,19372.6,6.95,19388.0,0.22541484022750996,0.7437965260545906,0.4255380296741239,0.14955967143103954,1.55,8.45,5.4,19372.6,0.225,0.99956400691698,0.155,0.9997213334709464,0.775,0.0004359930830198673,0.845,0.0002786665290535659,0.11585164835164836,0.9992856406024344,0.3057598039215686,0.27540086339808817,0.343782249742002,0.18634818705908565,0.22456400691698014,0.15472133347094646,687.787358276644,0.775359321365641,0.7478272604588394,
Fish,160,6.5,3.5,1.3,19376.7,7.0,19388.0,1.3645813879196846,0.9628531626833835,0.7953415383193917,0.6999358363425126,6.5,3.5,1.3,19376.7,0.8142857142857143,0.9998194096981253,0.65,0.999932913613376,0.18571428571428572,0.00018059030187470604,0.35,6.70863866240066e-05,0.6244886363636364,0.9997524241799051,0.7189026487788098,0.6751664495585468,0.7719897570011987,0.7253569303063514,0.8141051239838395,0.649932913613376,6871.638888888889,0.1857858133407033,0.9631307953506595,
FloorLamp,199,0.36,9.64,6.6,19371.4,6.96,19388.0,0.08909554200354751,0.6120044205000691,0.36090004077025506,0.04218545761247168,0.36,9.64,6.6,19371.4,0.05142857142857142,0.9995026067095456,0.036000000000000004,0.9996594075756012,0.9485714285714286,0.0004973932904543065,0.9640000000000001,0.00034059242439880274,0.023166666666666665,0.9991623684753457,0.15126050420168066,0.13677811550151978,0.16917293233082703,0.04261665974583851,0.05093117813811711,0.035659407575601224,116.90126984126984,0.9490463577188223,0.5886310263848599,
Glasses,152,2.4210526315789473,7.578947368421052,4.578947368421052,19373.42105263158,7.0,19388.0,0.44033308399413995,0.8322212793938822,0.5424112953172248,0.3219348389881657,2.4210526315789473,7.578947368421052,4.578947368421052,19373.42105263158,0.3458646616541353,0.999608949622392,0.2421052631578947,0.9997637038203933,0.6541353383458647,0.0003910503776080209,0.7578947368421053,0.00023629617960682484,0.19021460995145203,0.9993729165083124,0.38655462184873945,0.34954407294832823,0.43233082706766907,0.28906633404412946,0.34547361127652737,0.2418689669782879,1217.2396765723831,0.6544209964819981,0.8227237152882352,
Guitar,159,1.3,8.7,5.65,19372.35,6.95,19388.0,0.25442567595167953,0.862095685864786,0.446491678982804,0.10784803427079545,1.3,8.7,5.65,19372.35,0.1857142857142857,0.9995511080850902,0.13,0.9997084322427495,0.8142857142857143,0.0004488919149098932,0.8699999999999999,0.00029156775725049024,0.09023580586080586,0.9992598514545079,0.2549019607843137,0.2304964539007092,0.28508771929824556,0.15501774795605355,0.18526539379937584,0.1297084322427495,489.4691326530612,0.814663285564359,0.8570351747855992,
Gun,463,1.5172413793103448,8.482758620689655,5.4655172413793105,19372.53448275862,6.982758620689655,19388.0,0.5898871833828901,0.6875130269893801,0.5203217203650476,0.1701660459000379,1.5172413793103448,8.482758620689655,5.4655172413793105,19372.53448275862,0.21715927750410507,0.9995623161542395,0.1517241379310345,0.999717952459419,0.7828407224958949,0.00043768384576045464,0.8482758620689655,0.0002820475405810357,0.1048313755210307,0.9992805717009455,0.23546122994652405,0.21281851820704734,0.2635097101041373,0.1811585268393981,0.21672159365834465,0.15144209039045345,566.7128424166601,0.7831939926266678,0.6682178228322433,
Hand,292,4.162162162162162,5.837837837837838,2.7837837837837838,19375.216216216217,6.891891891891892,19388.0,0.9755759790281207,0.8128232355637603,0.6354477590503674,0.510211943736377,4.162162162162162,5.837837837837838,2.7837837837837838,19375.216216216217,0.5952380952380952,0.999698787174743,0.41621621621621624,0.9998563430806181,0.40476190476190477,0.00030121282525691145,0.5837837837837838,0.0001436569193819684,0.3513960138960139,0.9995553114492666,0.4894232467761879,0.4426373644690018,0.5476728386945104,0.4972885425307884,0.5949368824128384,0.41607255929683423,2622.7479009621866,0.40490775164681597,0.7936910198355317,
Hat,120,1.2666666666666666,8.733333333333333,5.733333333333333,19372.266666666666,7.0,19388.0,0.15789540590910142,0.7845724505237506,0.40359926004686186,0.12474924400083723,1.2666666666666666,8.733333333333333,5.733333333333333,19372.266666666666,0.18095238095238092,0.9995493868565434,0.12666666666666665,0.9997041318333506,0.819047619047619,0.00045061314345665,0.8733333333333333,0.00029586816664946503,0.08619047619047618,0.9992538339866585,0.2235294117647059,0.20212765957446804,0.24999999999999994,0.15103030334564804,0.18050176780892432,0.1263707985000172,457.79006046863185,0.8194261738604778,0.7686774233699533,
