query,id,class,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-
m75_06_fill_holes_and_orientation.obj,m75,AquaticAnimal,1,9,6,0,7,2437,0.30225185296370505,0.8199784847087752,0.47232068099375685,0.08514311764162101,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m76_06_fill_holes_and_orientation.obj,m76,AquaticAnimal,2,8,5,0,7,2437,0.3164110709562294,0.8555709236207162,0.4948190845791557,0.22400556151517556,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m77_06_fill_holes_and_orientation.obj,m77,AquaticAnimal,1,9,6,0,7,2437,0.19267714855875284,0.8204702627939143,0.4275544688894301,0.07336392209936006,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m78_06_fill_holes_and_orientation.obj,m78,AquaticAnimal,1,9,6,0,7,2437,0.21232648279890262,0.7962501921008145,0.44991998058979776,0.13886244387355456,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m79_06_fill_holes_and_orientation.obj,m79,AquaticAnimal,2,8,5,0,7,2437,0.3131769738095117,0.8272475795297373,0.48158043418704444,0.17318663334822615,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m80_06_fill_holes_and_orientation.obj,m80,AquaticAnimal,0,10,7,0,7,2437,0.10044734177058168,0.7735669279237745,0.36776100509824466,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m81_06_fill_holes_and_orientation.obj,m81,AquaticAnimal,1,9,6,0,7,2437,0.3489147377199028,0.8341939449823267,0.5213734738555005,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00031_06_fill_holes_and_orientation.obj,d00031,Bed,1,9,6,0,7,2437,0.43242407995936943,0.878266279552053,0.5506976635428694,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00110_06_fill_holes_and_orientation.obj,d00110,Bed,3,7,4,0,7,2437,0.5655607211707889,0.8868965957311042,0.5382903636708666,0.2090493674905264,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
D00121_06_fill_holes_and_orientation.obj,d00121,Bed,0,10,7,0,7,2437,0.4946752976055192,0.8968509715087898,0.5083190543367634,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00184_06_fill_holes_and_orientation.obj,d00184,Bed,1,9,5,0,6,2437,0.2596139367392944,0.8700985866062598,0.4468479123455463,0.09478836436955079,1,9,5,0,0.16666666666666666,0.0,0.1,0.0,0.8333333333333334,1.0,0.9,1.0,0.06666666666666667,0.06666666666666667,0.125,0.10869565217391304,0.14705882352941177,-0.8660254037844386,-0.8333333333333334,-0.9,0.16666666666666666,
